,Name,Representation,Representative_Docs,Better_Names
1,0_couple_met_bride_groom,"['couple', 'met', 'bride', 'groom', 'married', 'wedding', 'at', 'graduated', 'dating', 'bridegroom']","['The couple is married in New York.', 'The bride and groom met at Princeton, from which they graduated. In May, the bride received an M.B.A. and the groom a law degree, both from Yale.', 'The couple met in law school at N.Y.U.']",How the Couple Met and Their Journey to Marriage
2,1_art_museum_exhibition_artists,"['art', 'museum', 'exhibition', 'artists', 'artist', 'gallery', 'museums', 'auction', 'paintings', 'photographer']","['The New Museum takes a welcome turn to the substantive with an exhibition of art from and about Russia and the former Soviet bloc.', 'A new exhibit at the Museum of Contemporary Art’s Pacific Design Center satellite in West Hollywood celebrates the work the three created together.', 'Architects have written a letter to the Museum of Modern Art asking it reconsider its decision to demolish the former American Folk Art Museum building in Manhattan.']",Contemporary Art Exhibitions and Museums
3,2_restaurant_food_chef_recipes,"['restaurant', 'food', 'chef', 'recipes', 'chicken', 'dishes', 'chefs', 'menu', 'cooking', 'restaurants']","['“Was New York City a better place when there were sad old men sitting at the bar in the lobby of the Gramercy alongside stooped former artist’s models, with smoke curling up toward the ceiling on exhalations of gin breath and despair?” <a href=""http://events.nytimes.com/2010/01/20/dining/reviews/20rest.html?8ur&emc=ur"">asks Sam Sifton</a>. “Probably not. But the era is worth recalling as you sit at <b>Maialino</b>, drinking prosecco or coffee and looking south toward Gramercy Park as cabs inch past.” The latest venture from the restaurateur <b>Danny Meyer</b> is a Roman-style trattoria at the Gramercy Park Hotel, whose  name is Italian for little pig. Pork is of course on the menu, but so is stracciatella, the Roman chicken soup with thick strands of egg; cold antipasti; and entrees including “a moist and flavorful plate of swordfish with mushrooms and fennel fronds, and another of crisp deviled chicken with black pepper and pickled chilies.” Enjoy them at a table or at the bar, “long, wide and walnut, maybe the most cordial surface the designer, David Rockwell, has ever put into a restaurant.” Or try the restaurant’s pièce de résistance, maialino al forno. “The skin, blasted to crisp in a hot oven, is dusted in rosemary, cracked fennel, salt and pepper: an apparently unambitious preparation that tastes just great.”', '“Was New York City a better place when there were sad old men sitting at the bar in the lobby of the Gramercy alongside stooped former artist’s models, with smoke curling up toward the ceiling on exhalations of gin breath and despair?” <a href=""http://events.nytimes.com/2010/01/20/dining/reviews/20rest.html?8ur&emc=ur"">asks Sam Sifton</a>. “Probably not. But the era is worth recalling as you sit at <b>Maialino</b>, drinking prosecco or coffee and looking south toward Gramercy Park as cabs inch past.” The latest venture from the restaurateur <b>Danny Meyer</b> is a Roman-style trattoria at the Gramercy Park Hotel, whose  name is Italian for little pig. Pork is of course on the menu, but so is stracciatella, the Roman chicken soup with thick strands of egg; cold antipasti; and entrees including “a moist and flavorful plate of swordfish with mushrooms and fennel fronds, and another of crisp deviled chicken with black pepper and pickled chilies.” Enjoy them at a table or at the bar, “long, wide and walnut, maybe the most cordial surface the designer, David Rockwell, has ever put into a restaurant.” Or try the restaurant’s pièce de résistance, maialino al forno. “The skin, blasted to crisp in a hot oven, is dusted in rosemary, cracked fennel, salt and pepper: an apparently unambitious preparation that tastes just great.”', 'Restaurant news in the New York area.']",Culinary Experiences and Chef-Driven Restaurants
4,3_fashion_designer_scenes_photo,"['fashion', 'designer', 'scenes', 'photo', 'designers', 'week', 'diary', 'collection', 'milan', 'mens']","['Scenes from the Paris Fashion Week photo diary of Ioulex.', 'Scenes from the Milan Fashion Week photo diary of Alfredo Piola.', 'Scenes from the Milan Fashion Week photo diary of Alfredo Piola.']",Fashion Week Designer Photo Diaries
5,4_climate_oil_energy_emissions,"['climate', 'oil', 'energy', 'emissions', 'warming', 'gas', 'change', 'carbon', 'global', 'greenhouse']","['Executives of some of the world’s largest companies said on the sidelines of the Paris climate talks that they would work to reduce emissions blamed for global warming.', 'Emissions of methane, a powerful greenhouse gas, are 60 percent higher than government estimates. That’s bad news for climate change.', 'Emissions of methane, a powerful greenhouse gas, are 60 percent higher than government estimates. That’s bad news for climate change.']",Climate Change and Fossil Fuel Emissions
6,5_yankees_mets_game_league,"['yankees', 'mets', 'game', 'league', 'runs', 'innings', 'inning', 'sox', 'pitcher', 'team']","['A spring storm pushed back the Yankees’ 2018 home debut to Tuesday, and a Mets-Phillies night game to July.', 'The Mets outfielder hit his third and fourth home runs of the season, the second a two-run shot that gave the team the lead in the eighth inning.', 'The Yankees and the Red Sox play their final three games of the season this weekend at Yankee Stadium. Boston leads the season series, 9 games to 6, although the Yankees have won 6 of the last 7.']",New York Baseball Teams and Major League Games
7,6_students_schools_school_education,"['students', 'schools', 'school', 'education', 'college', 'colleges', 'teachers', 'student', 'high', 'tuition']","['Student Opinion | Tell us about your own schooling history: have you been to public schools, private schools, parochial schools or some combination? Which type of school would you prefer for high school, and why?', 'Wednesday: Black and Hispanic students make up a majority of New York City’s public school system, but a minority at the top high schools.', 'Wednesday: Black and Hispanic students make up a majority of New York City’s public school system, but a minority at the top high schools.']",Educational Diversity and Access in Schools
8,7_novel_book_her_books,"['novel', 'book', 'her', 'books', 'author', 'novels', 'writer', 'poems', 'story', 'fiction']","['The story of Mr. Takei’s life, particularly his time in government internment camps during World War II, will be published as a graphic novel next year.', 'What are the best books of fiction, nonfiction or poetry that you read this year?', 'What are the best books of fiction, nonfiction or poetry that you read this year?']",Literary Works and Authors
9,8_species_animals_birds_dogs,"['species', 'animals', 'birds', 'dogs', 'animal', 'dog', 'scientists', 'researchers', 'pets', 'pet']","['Species like the blue whale became so big only in the past 4.5 million years, a result of changes to the food supply in the oceans, scientists say.', 'The Fish and Wildlife Service announced a proposal on Tuesday to list the birds as a threatened species.', 'The Fish and Wildlife Service announced a proposal on Tuesday to list the birds as a threatened species.']",Biodiversity and Conservation of Animal Species
10,9_jets_giants_quarterback_nfl,"['jets', 'giants', 'quarterback', 'nfl', 'cowboys', 'super', 'bowl', 'patriots', 'game', 'rex']","['A former Giants quarterback says the current one is not elite. It’s an impossible debate, but it’s one the Jets wish they were having.', 'Jets.', 'The Giants enter the game last in the N.F.L. in total defense, and one has to wonder if they can contain an explosive Patriots offense led by quarterback Tom Brady.']",NFL Quarterback Discussions and Comparisons
11,10_cup_soccer_league_champions,"['cup', 'soccer', 'league', 'champions', 'team', 'world', 'manchester', 'premier', 'players', 'match']","['The World Cup champions have a so-so league at home. The league’s chief executive wants to change that with American owners who have experience in sports.', 'The FIFA World Cup soccer tournament will begin in Brazil on Thursday.', 'Pelé, one of the greatest players in the history of soccer, reflects on his career in the game, Brazil and the World Cup.']",International Soccer Competitions and Championships
12,11_china_chinese_chinas_beijing,"['china', 'chinese', 'chinas', 'beijing', 'hong', 'xi', 'beijings', 'kong', 'trade', 'jinping']","['China’s new official history.', 'With China mired in a trade war, economic slowdown and Hong Kong unrest, Xi Jinping will use an elite meeting to focus more on increasing his control over the Communist Party.', 'After the White House accused China of censorship over airlines’ references to places like Hong Kong, a Chinese spokesman said the U.S. should “respect the national feelings of the Chinese people.”']",China's Political and Economic Landscape
13,12_coronavirus_virus_pandemic_outbreak,"['coronavirus', 'virus', 'pandemic', 'outbreak', 'spread', 'cases', 'covid', 'health', 'outbreaks', 'infections']","['Officials still in the thick of the coronavirus pandemic on Sunday voiced fears that relaxing protective measures too early could cause the virus to surge once again.', 'The coronavirus pandemic is Issue No. 1, and it’s transformed everything about how this election season has played out.', 'The coronavirus pandemic is Issue No. 1, and it’s transformed everything about how this election season has played out.']",COVID-19 Pandemic
14,13_apple_apples_iphone_apps,"['apple', 'apples', 'iphone', 'apps', 'mobile', 'smartphone', 'app', 'software', 'ipad', 'devices']","['Microsoft’s Skype service and Apple’s FaceTime system both allow users to make free video calls, and you can use both programs on an iPad.', 'Microsoft’s Skype service and Apple’s FaceTime system both allow users to make free video calls, and you can use both programs on an iPad.', 'The smartphone runs the Windows Phone software, features a 41-megapixel camera and has a starting price higher than an iPhone or Samsung Galaxy’s — would you buy it?']",Apple's Ecosystem and iPhone Applications
15,14_prime_minister_party_european,"['prime', 'minister', 'party', 'european', 'union', 'angela', 'merkel', 'british', 'narendra', 'chancellor']","['The British prime minister was excluded from European Union meetings, and Britain’s two main parties are both grappling with leadership changes.', 'By pledging a referendum on Britain’s membership in the European Union within five years, Prime Minister David Cameron made a bet with few precedents in modern British politics.', 'By pledging a referendum on Britain’s membership in the European Union within five years, Prime Minister David Cameron made a bet with few precedents in modern British politics.']",European Union and Prime Ministers
